entry_id,url,domain,verdict,confidence,status,http_status,http_error,dns_valid,final_url,content_type,content_length,title,wayback_available,wayback_url,wayback_timestamp,is_known_domain,known_domain_name,reasoning,fetch_time
T1-D-003,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-006,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-007,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-012,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-014,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-016,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-017,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-018,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-023,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-024,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-026,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-029,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-S-002,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-030,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-031,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-045,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-S-003,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-S-004,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-044,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-049,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-052,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-053,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-S-005,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-S-006,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-057,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T1-D-058,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-LL-001,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-LL-008,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-WD-001,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-WD-002,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-WD-003,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-WD-008,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-WD-009,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-WD-010,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-WD-012,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-WD-013,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-WD-014,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-WD-015,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-LL-040,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-LL-041,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-WD-016,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
T2-WD-017,,,missing,100,no_url,,,,,,0,,,,,False,,No URL in entry,
